id,name,price,stock,description
1,iPhone 15,5999.00,50,苹果最新款智能手机
2,MacBook Pro,12999.00,30,苹果专业笔记本电脑
3,AirPods Pro,1899.00,100,苹果主动降噪无线耳机
4,iPad Air,4799.00,40,苹果平板电脑
5,Apple Watch,2999.00,60,苹果智能手表
6,小米14,3999.00,80,小米旗舰手机
7,小米平板6,2499.00,50,小米平板电脑
8,小米手环8,249.00,200,小米智能手环
9,华为Mate60,5499.00,45,华为旗舰手机
10,华为Watch GT4,1488.00,70,华为智能手表
11,索尼WH-1000XM5,2499.00,35,索尼降噪耳机
12,戴森吸尘器V15,4990.00,25,戴森无线吸尘器
13,任天堂Switch,2299.00,55,任天堂游戏机
14,PS5光驱版,3899.00,20,索尼游戏主机
15,Xbox Series X,3899.00,18,微软游戏主机
16,戴尔显示器27寸,1999.00,40,4K高清显示器
17,罗技MX Master3,799.00,90,专业无线鼠标
18,HHKB键盘,1999.00,30,静电容键盘
19,Kindle Paperwhite,998.00,60,亚马逊电子书阅读器
20,大疆Mini 3,4788.00,22,大疆无人机
21,GoPro Hero12,3398.00,28,运动相机
22,Bose QC45,2299.00,40,Bose降噪耳机
23,森海塞尔HD600,1699.00,35,专业监听耳机
24,飞利浦电动牙刷,399.00,150,声波电动牙刷
25,博朗剃须刀,899.00,80,电动剃须刀
26,松下电饭煲,1299.00,45,智能电饭煲
27,美的空气净化器,1999.00,35,家用空气净化器
28,九阳破壁机,699.00,60,多功能破壁机
29,小米扫地机器人,2499.00,40,智能扫地机器人
30,极米投影仪H6,4999.00,25,家用投影仪
